순위,name,date,money,pop,스크린수,상영횟수,대표국적,국적,배급사
1,어벤져스: 엔드게임,2019-04-24,"122,492,181,020","13,977,602","2,835","246,433",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,겨울왕국 2,2019-11-21,"114,810,421,450","13,747,792","2,648","299,334",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,아바타,2009-12-17,"125,304,346,000","13,338,863",917,"164,457",미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
4,알라딘,2019-05-23,"106,983,620,359","12,555,894","1,409","266,518",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,어벤져스: 인피니티 워,2018-04-25,"100,081,428,549","11,233,176","2,553","243,677",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,어벤져스: 에이지 오브 울트론,2015-04-23,"88,640,214,246","10,504,007","1,843","194,351",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
7,인터스텔라,2014-11-06,"82,669,061,000","10,309,432","1,410","169,432",미국,"미국,영국",워너브러더스 코리아(주)
8,겨울왕국,2014-01-16,"82,521,307,080","10,303,058","1,010","157,838",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
9,보헤미안 랩소디,2018-10-31,"86,280,975,785","9,948,386","1,179","232,226",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
10,아이언맨 3,2013-04-25,"70,809,259,500","9,001,679","1,389","163,596",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
11,캡틴 아메리카: 시빌 워,2016-04-27,"72,679,892,327","8,678,117","1,991","161,713",미국,미국,월트디즈니컴퍼니코리아(주)
12,스파이더맨: 파 프롬 홈,2019-07-02,"69,030,020,600","8,023,326","2,142","181,024",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
13,트랜스포머 3,2011-06-29,"74,842,906,588","7,785,189","1,409","124,464",미국,미국,씨제이이앤엠(주)
14,미션임파서블:고스트프로토콜,2011-12-15,"57,302,548,500","7,508,976","1,024","114,771",미국,미국,씨제이이앤엠(주)
15,트랜스포머,2007-06-28,"47,710,604,338","7,402,732",863,"92,704",미국,미국,씨제이엔터테인먼트
16,트랜스포머: 패자의 역습,2009-06-24,"50,699,866,000","7,393,443","1,154","115,150",미국,미국,씨제이엔터테인먼트
17,스파이더맨: 홈 커밍,2017-07-05,"59,125,813,820","7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
18,어벤져스,2012-04-26,"59,634,896,458","7,087,068",967,"112,526",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
19,미션 임파서블: 폴아웃,2018-07-25,"55,888,375,112","6,584,915","1,957","101,374",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
20,다크 나이트 라이즈,2012-07-19,"47,675,463,500","6,399,303","1,210","81,273",미국,"미국,영국",워너브러더스 코리아(주)
21,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
22,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
23,인셉션,2010-07-21,"44,395,862,800","5,945,314",531,"89,898",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
